title,description,date,tags,link,img,alt,publication,type,lead,pinned
Conflicted Congress,Led front-end and back-end development peering into the financial transparency of members of Congress,2021-12,"SvelteKit,D3,Node",https://www.businessinsider.com/financial-conflicts-congress-members-rated-2021-12,conflicted-congress,"A seating chart of the House of Representatives and the Senate facing each other. The dots are colored green, yellow and red according to the rating of each member of Congress.",Business Insider,graphics,TRUE,TRUE
Zuck's Hawaiʻi,"An investigation featuring drone footage, maps, charts & soundbites",2021-11,"Svelte,D3,Layercake,Multimedia",https://www.businessinsider.com/mark-zuckerberg-kauai-estate-hawaii-land-appropriation-history-2021-11,zucks-hawaii,A portrait of Mark Zuckerberg with native foliage behind,Business Insider,graphics,TRUE,TRUE
Esports Winners,Who's winning what in the esports world,2021-11,"Svelte,D3,Tweens",https://www.businessinsider.com/esports-database-top-teams-prize-money-titles-2021-10,esports-winners,"A bubble chart of top esports teams, sized according to who has won the most awards",Business Insider,graphics,TRUE,FALSE
Buy a House,Wielding RedFin and Zillow data to ask if you should buy a house,2021-10,"Svelte,API",https://www.businessinsider.com/should-i-buy-a-house-quiz-2021-10,should-i-buy-a-house,"A screenshot of the quiz with the five questions shown, including credit score, salary, debt, county and desired bedrooms",Business Insider,graphics,TRUE,FALSE
Insider Reviews,An updating list of Insider Reviews' fav products,2021-10,Svelte,https://www.businessinsider.com/insider-reviews-all-time-best-products,all-time-best,"A grid of products included on the site, centered around the name of the site.",Business Insider,graphics,TRUE,TRUE
Salary database,"Wrangling 250,000 salaries into a readable database",2021-09,"Svelte,SPA,Python",https://www.businessinsider.com/salary-database-google-goldman-amazon-how-much-top-jobs-pay-2021-7,salary-database,A few company names included in the database,Business Insider,graphics,TRUE,FALSE
BioTech Quiz,A quirky quiz to highlight pay disparity in the biotech industry,2021-08,"Svelte,Layercake",https://www.businessinsider.com/quiz-salaries-compensation-biotech-and-pharmaceutical-companies-2021-8,biotech-quiz,"A screenshot of the fifth question of the quiz, asking how many employees it takes to reach the salary of Regeneron CEO Leonard Schleifer",Business Insider,graphics,TRUE,FALSE
Vaxxed Govs,A cartogram to track which governors are vaccinated and how it stacks up against CDC case data,2021-06,"Svelte,API",https://www.businessinsider.com/governors-vaccinated-vaccine-hesitancy-free-beer-2021-5,vaxxed-govs,A small-multiple cartogram showing all states have vaccinated governors,Business Insider,graphics,TRUE,FALSE
LGBTQ+ Cartoons,A multi-page site displaying the rise in LGBTQ+ characters in cartoons,2021-05,"Svelte,DataWrapper",https://www.insider.com/lgbtq-cartoon-characters-kids-database-2021-06?page=explore-database,lgbtq-cartoons,The hero section of the page featuring a line-up of characters Insider confirmed as LGBTQ+,Business Insider,graphics,TRUE,FALSE
Steve's Connections,Steve Cohen's sphere of influence,2021-05,"Svelte,D3",https://www.businessinsider.com/steve-cohen-point72-sac-network-alumni-hedge-fund-founders-spinoffs-2021-4,steves-connections,A picture of Steve Cohen surrounded by dots indicating hedge funds sprung up around him.,Business Insider,graphics,TRUE,FALSE
Like a Ritual,Why Title Fight deserved better from fans and critics via Spotify data,2021-01,"D3,API,Audio",https://like-a-ritual.netlify.app/,like-a-ritual,A partial screencap of a barchart in the site,Side project,graphics,TRUE,TRUE
Ghost Kitchens,Mapping out CloudKitchens and REEF locations,2021-01,D3,https://www.businessinsider.com/map-where-travis-kalanicks-cloudkitchen-and-reef-have-ghost-kitchens-2020-12,cloudkitchens-map,Mapping out CloudKitchens and REEF locations,Business Insider,graphics,TRUE,FALSE
Gender Diversity,Gender diversity on the boards of pre-IPO companies,2021-01,D3,https://www.businessinsider.com/board-diversity-biggest-private-companies-unicorns-ipos-gender-women-2020-12,board-genders,A visual database of Joe Biden's cabinet picks,Business Insider,graphics,TRUE,FALSE
Georgia's Run-off,Legislative issues to be determined by Georgia's Senate race,2021-01,D3,https://www.businessinsider.com/congress-georgia-runoffs-senate-majority-mcconnell-schumer-legislation2020-12,georgia-legislative-roadmap,Legislative issues that will be determined by Georgia's Senate race,Business Insider,graphics,TRUE,FALSE
Joe's Cabinet,A visual database of Joe Biden's cabinet,2021-01,Svelte,https://www.businessinsider.com/joe-biden-cabinet-white-house-staff-transition-president-elect-administration-2020-11,cabinet,A visual database of Joe Biden's cabinet picks,Business Insider,graphics,TRUE,FALSE
